PC=00000000, ---
PC=00000004, REG[ 1]=00000004
PC=00000008, REG[ 1]=000000a0
PC=0000000c, REG[ 2]=0001000c
PC=00000010, REG[ 2]=00010000
PC=00000014, REG[ 8]=00010000
PC=00000018, REG[ 3]=00001018
PC=0000001c, REG[ 3]=000017a0
PC=00000020, REG[ 4]=00000000
PC=00000024, REG[ 5]=00000000
PC=00000028, REG[ 6]=00000000
PC=0000002c, REG[ 7]=00000000
PC=00000030, REG[ 9]=00000000
PC=00000034, REG[10]=00000000
PC=00000038, REG[11]=00000000
PC=0000003c, REG[12]=00000000
PC=00000040, REG[13]=00000000
PC=00000044, REG[14]=00000000
PC=00000048, REG[15]=00000000
PC=0000004c, REG[16]=00000000
PC=00000050, REG[17]=00000000
PC=00000054, REG[18]=00000000
PC=00000058, REG[19]=00000000
PC=0000005c, REG[20]=00000000
PC=00000060, REG[21]=00000000
PC=00000064, REG[22]=00000000
PC=00000068, REG[23]=00000000
PC=0000006c, REG[24]=00000000
PC=00000070, REG[25]=00000000
PC=00000074, REG[26]=00000000
PC=00000078, REG[27]=00000000
PC=0000007c, REG[28]=00000000
PC=00000080, REG[29]=00000000
PC=00000084, REG[30]=00000000
PC=00000088, REG[31]=00000000
PC=0000008c, ---
PC=00000de4, REG[ 2]=0000ffe0
PC=00000de8, ---
PC=00000dec, ---
PC=00000df0, REG[ 8]=00010000
PC=00000df4, REG[11]=00000010
PC=00000df8, REG[10]=00000003
PC=00000dfc, REG[ 1]=00000dfc
PC=00000e00, REG[ 1]=00000e04
PC=00000a30, REG[ 2]=0000ff90
PC=00000a34, ---
PC=00000a38, ---
PC=00000a3c, ---
PC=00000a40, ---
PC=00000a44, ---
PC=00000a48, ---
PC=00000a4c, ---
PC=00000a50, ---
PC=00000a54, REG[ 8]=0000ffe0
PC=00000a58, REG[ 5]=00000003
PC=00000a5c, REG[10]=00000010
PC=00000a60, REG[11]=00000003
PC=00000a64, ---
PC=00000a68, REG[11]=00000010
PC=00000a6c, ---
PC=00000a70, REG[11]=0000ff90
PC=00000a74, REG[22]=0000ff90
PC=00000a78, REG[11]=00000008
PC=00000a7c, REG[11]=00000007
PC=00000a80, ---
PC=00000a84, REG[11]=00000008
PC=00000a88, REG[20]=00000008
PC=00000a8c, REG[21]=00000000
PC=00000a90, REG[11]=00000000
PC=00000a94, REG[ 7]=00000000
PC=00000a98, REG[ 7]=00000000
PC=00000a9c, REG[ 6]=00000080
PC=00000aa0, REG[11]=00000008
PC=00000aa4, REG[18]=00000008
PC=00000aa8, REG[19]=00000000
PC=00000aac, REG[11]=00000000
PC=00000ab0, REG[17]=00000000
PC=00000ab4, REG[17]=00000000
PC=00000ab8, REG[16]=00000080
PC=00000abc, REG[11]=00000008
PC=00000ac0, REG[11]=00000010
PC=00000ac4, REG[11]=0000001f
PC=00000ac8, REG[11]=00000001
PC=00000acc, REG[11]=00000010
PC=00000ad0, REG[ 2]=0000ff80
PC=00000ad4, REG[11]=0000ff80
PC=00000ad8, REG[11]=0000ff81
PC=00000adc, REG[11]=00007fc0
PC=00000ae0, REG[11]=0000ff80
PC=00000ae4, ---
PC=00000ae8, REG[11]=00000008
PC=00000aec, REG[11]=00000007
PC=00000af0, ---
PC=00000af4, REG[11]=00000008
PC=00000af8, REG[30]=00000008
PC=00000afc, REG[31]=00000000
PC=00000b00, REG[11]=00000000
PC=00000b04, REG[13]=00000000
PC=00000b08, REG[13]=00000000
PC=00000b0c, REG[12]=00000080
PC=00000b10, REG[13]=00000008
PC=00000b14, REG[28]=00000008
PC=00000b18, REG[29]=00000000
PC=00000b1c, REG[13]=00000000
PC=00000b20, REG[15]=00000000
PC=00000b24, REG[15]=00000000
PC=00000b28, REG[14]=00000080
PC=00000b2c, REG[15]=00000008
PC=00000b30, REG[15]=00000010
PC=00000b34, REG[15]=0000001f
PC=00000b38, REG[15]=00000001
PC=00000b3c, REG[15]=00000010
PC=00000b40, REG[ 2]=0000ff70
PC=00000b44, REG[15]=0000ff70
PC=00000b48, REG[15]=0000ff71
PC=00000b4c, REG[15]=00007fb8
PC=00000b50, REG[15]=0000ff70
PC=00000b54, ---
PC=00000b58, REG[14]=0000ff80
PC=00000b5c, REG[15]=00000003
PC=00000b60, REG[11]=0000ff80
PC=00000b64, REG[10]=00000003
PC=00000b68, REG[ 1]=00000b68
PC=00000b6c, REG[ 1]=00000b70
PC=00000994, REG[ 2]=0000ff40
PC=00000998, ---
PC=0000099c, REG[ 8]=0000ff70
PC=000009a0, REG[15]=00000003
PC=000009a4, ---
PC=000009a8, ---
PC=000009ac, ---
PC=000009b0, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000000
PC=00000a18, ---
PC=000009b4, REG[15]=00000003
PC=000009b8, REG[15]=00000001
PC=000009bc, ---
PC=000009c0, REG[15]=00000000
PC=000009c4, REG[15]=00000000
PC=000009c8, REG[14]=0000ff80
PC=000009cc, REG[15]=0000ff80
PC=000009d0, REG[14]=00000001
PC=000009d4, ---
PC=000009d8, ---
PC=000009f0, REG[15]=00000003
PC=000009f4, REG[15]=00000001
PC=000009f8, ---
PC=000009fc, REG[15]=00000000
PC=00000a00, REG[15]=00000001
PC=00000a04, REG[15]=00010000
PC=00000a08, REG[15]=00000001
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000001
PC=00000a18, ---
PC=000009b4, REG[15]=00000001
PC=000009b8, REG[15]=00000001
PC=000009bc, ---
PC=000009c0, REG[15]=00000001
PC=000009c4, REG[15]=00000002
PC=000009c8, REG[14]=0000ff80
PC=000009cc, REG[15]=0000ff82
PC=000009d0, REG[14]=00000001
PC=000009d4, ---
PC=000009d8, ---
PC=000009f0, REG[15]=00000001
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000001
PC=00000a00, REG[15]=00000002
PC=00000a04, REG[15]=00020000
PC=00000a08, REG[15]=00000002
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000002
PC=00000a18, ---
PC=000009b4, REG[15]=00000000
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000002
PC=000009e0, REG[15]=00000004
PC=000009e4, REG[14]=0000ff80
PC=000009e8, REG[15]=0000ff84
PC=000009ec, ---
PC=000009f0, REG[15]=00000000
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000002
PC=00000a00, REG[15]=00000003
PC=00000a04, REG[15]=00030000
PC=00000a08, REG[15]=00000003
PC=00000a0c, ---
PC=00000a10, REG[15]=00000008
PC=00000a14, REG[14]=00000003
PC=00000a18, ---
PC=000009b4, REG[15]=00000000
PC=000009b8, REG[15]=00000000
PC=000009bc, ---
PC=000009dc, REG[15]=00000003
PC=000009e0, REG[15]=00000006
PC=000009e4, REG[14]=0000ff80
PC=000009e8, REG[15]=0000ff86
PC=000009ec, ---
PC=000009f0, REG[15]=00000000
PC=000009f4, REG[15]=00000000
PC=000009f8, ---
PC=000009fc, REG[15]=00000003
